Class Label,doesHaveLinks,doesHaveSpammyWords,lengthOfText
ham,False,False,111
ham,False,False,29
spam,False,False,155
ham,False,False,49
ham,False,False,61
spam,False,False,145
ham,False,False,77
ham,False,True,160
spam,False,True,156
spam,False,True,153
ham,False,False,108
spam,False,False,136
spam,True,True,154
ham,False,True,196
ham,False,False,35
spam,True,True,148
ham,False,False,26
ham,False,False,81
ham,False,False,54
spam,False,False,155
ham,False,False,40
ham,False,False,46
ham,False,False,52
ham,False,False,87
ham,False,False,56
ham,False,False,144
ham,False,False,30
ham,False,False,128
ham,False,False,75
ham,False,False,63
ham,False,False,130
ham,False,True,187
ham,False,False,29
ham,False,False,83
spam,False,True,157
ham,False,False,122
ham,False,False,47
ham,False,False,28
ham,False,False,27
ham,False,False,154
ham,False,False,82
ham,False,False,141
spam,False,True,172
ham,False,False,18
ham,False,False,63
ham,False,True,32
ham,False,False,45
ham,False,False,30
ham,False,False,67
ham,False,False,148
ham,False,False,58
ham,False,False,106
ham,False,False,80
ham,False,False,287
spam,False,False,118
ham,False,False,75
spam,False,True,160
ham,False,True,34
ham,False,False,22
ham,False,False,40
ham,False,False,108
ham,False,False,48
ham,False,False,25
ham,False,False,55
ham,False,False,110
spam,False,True,151
ham,False,False,119
spam,False,True,157
spam,False,False,75
ham,False,False,34
ham,False,False,46
ham,False,False,29
ham,False,False,44
ham,False,False,40
ham,False,True,20
ham,False,True,43
ham,False,False,73
ham,False,False,50
ham,False,False,33
ham,False,False,76
ham,False,True,22
ham,False,True,30
ham,False,False,32
ham,False,False,36
ham,False,True,14
ham,False,True,55
ham,False,False,120
ham,False,True,144
ham,False,False,42
ham,False,True,41
ham,False,False,56
ham,False,False,193
ham,False,False,141
spam,False,True,135
ham,False,False,106
spam,False,True,122
ham,False,False,32
ham,False,False,51
ham,False,False,176
ham,False,False,57
ham,False,False,80
ham,False,False,76
ham,False,True,160
ham,False,False,119
ham,False,False,44
ham,False,False,95
ham,False,True,43
ham,False,False,82
ham,False,False,115
ham,False,False,30
ham,False,False,39
ham,False,False,31
ham,False,False,96
spam,False,True,157
ham,False,False,142
ham,False,False,156
spam,False,True,150
ham,False,False,71
ham,False,False,86
spam,False,True,144
spam,False,True,155
ham,False,False,53
spam,False,True,156
ham,False,False,51
ham,False,False,36
ham,False,False,20
ham,False,False,244
ham,False,False,22
ham,False,False,106
ham,False,False,27
ham,False,False,9
ham,False,True,39
ham,False,False,25
spam,False,False,123
spam,False,False,160
ham,False,False,38
ham,False,True,34
ham,False,False,46
spam,False,False,155
ham,False,False,85
ham,False,False,33
ham,False,False,27
ham,False,False,154
ham,False,False,41
ham,False,False,25
ham,False,False,47
spam,False,True,158
ham,False,True,84
ham,False,True,32
ham,False,False,30
ham,False,False,45
ham,False,False,59
ham,False,True,25
ham,False,True,160
ham,False,False,384
ham,False,False,27
ham,False,False,27
ham,False,False,150
spam,False,True,124
spam,False,True,144
ham,False,False,115
ham,False,False,64
ham,False,False,85
spam,True,False,151
spam,False,True,155
ham,False,False,51
spam,False,True,155
ham,False,False,73
ham,False,False,66
ham,False,False,59
ham,False,False,50
ham,False,True,93
ham,False,False,31
ham,False,False,104
ham,False,False,61
ham,False,True,65
ham,False,False,25
ham,False,True,128
ham,False,True,66
ham,False,False,126
ham,False,False,159
ham,False,False,23
ham,False,False,65
ham,False,False,23
ham,False,False,26
ham,False,False,146
ham,False,False,34
spam,False,True,145
ham,False,False,55
ham,False,False,88
spam,True,False,71
ham,False,False,185
ham,False,False,37
ham,False,True,111
ham,False,False,91
ham,False,False,28
ham,False,False,28
ham,False,False,61
ham,False,False,130
ham,False,False,30
ham,False,False,19
ham,False,False,84
ham,False,False,165
ham,False,False,24
ham,False,True,25
ham,False,False,62
ham,False,False,156
ham,False,False,28
ham,False,False,86
ham,False,False,39
ham,False,False,73
ham,False,False,26
ham,False,False,23
ham,False,False,23
ham,False,False,30
ham,False,False,58
ham,False,False,48
ham,False,False,40
ham,False,False,32
ham,False,False,159
ham,False,False,25
ham,False,True,161
ham,False,True,22
ham,False,False,119
spam,True,False,141
ham,False,True,69
spam,False,True,135
ham,False,False,30
ham,False,False,165
ham,False,False,34
ham,False,False,100
ham,False,False,37
ham,False,False,33
ham,False,False,48
spam,False,False,157
ham,False,False,41
ham,False,True,65
ham,False,False,36
ham,False,False,145
spam,False,True,145
ham,False,False,51
ham,False,False,45
ham,False,False,83
ham,False,False,155
ham,False,False,36
ham,False,False,78
ham,False,True,30
ham,False,True,31
ham,False,False,146
spam,True,False,150
ham,False,False,44
ham,False,False,179
ham,False,False,25
ham,False,False,179
ham,False,False,38
ham,False,False,97
ham,False,False,43
ham,False,False,35
spam,False,True,150
ham,False,False,70
ham,False,False,3
ham,False,False,85
ham,False,False,51
spam,False,True,121
ham,False,False,26
ham,False,False,35
ham,False,False,47
spam,False,True,158
ham,False,False,46
spam,False,True,133
ham,False,False,53
ham,False,False,147
spam,True,True,155
ham,False,False,37
ham,False,False,31
ham,False,False,8
ham,False,False,38
ham,False,False,30
ham,False,False,46
ham,False,False,53
ham,False,True,21
ham,False,False,18
ham,False,False,29
ham,False,False,7
ham,False,False,121
ham,False,False,58
ham,False,False,4
ham,False,True,147
ham,False,True,160
ham,False,False,152
ham,False,False,36
ham,False,False,54
ham,False,False,21
ham,False,False,22
ham,False,False,50
spam,False,True,159
ham,False,False,67
ham,False,False,153
ham,False,False,51
ham,False,False,66
ham,False,False,88
ham,False,False,156
ham,False,False,89
ham,False,False,24
spam,True,False,146
ham,False,False,56
ham,False,False,25
ham,False,True,71
spam,False,True,138
ham,False,False,54
ham,False,False,155
spam,False,False,131
ham,False,True,119
ham,False,False,142
ham,False,False,41
ham,False,False,26
ham,False,False,119
ham,False,False,46
spam,False,True,156
ham,False,False,23
ham,False,False,51
ham,False,False,61
ham,False,False,107
ham,False,False,157
ham,False,False,29
ham,False,True,32
ham,False,False,30
ham,False,False,79
ham,False,False,32
ham,False,False,86
ham,False,False,22
